date,open,high,low,close,volume
1653485400,392.31,399.45,391.89,397.37,91472900
1653571800,398.67,407.04,398.45,405.31,82168300
1653658200,407.91,415.38,407.70,415.26,84768700
1654003800,413.55,416.46,410.03,412.93,95937000
1654090200,415.17,416.24,406.93,409.59,86585800
1654176600,409.42,417.44,407.04,417.39,79609600
1654263000,412.40,414.04,409.51,410.54,71874300
1654522200,414.78,416.61,410.55,411.79,57508900
1654608600,408.10,416.22,407.61,415.74,59272400
1654695000,413.93,415.82,410.38,411.22,64350000
1654781400,409.34,411.74,401.44,401.44,86289800
1654867800,394.88,395.78,389.75,389.80,132893900
1655127000,379.85,381.81,373.30,375.00,170004900
1655213400,376.85,377.94,370.59,373.87,104011800
1655299800,377.36,383.90,372.12,379.20,125666800
1655386200,370.51,370.94,364.08,366.65,134473300
1655472600,365.51,369.38,362.17,365.86,111113900
1655818200,371.89,376.53,371.81,375.07,76811900
1655904600,370.62,378.72,370.18,374.39,90059400
1655991000,376.64,378.83,372.89,378.06,79292100
1656077400,381.40,390.09,381.37,390.08,98050300
1656336600,391.05,391.36,387.44,388.59,66009600
1656423000,390.23,393.16,380.53,380.65,86548900
1656509400,381.23,382.27,378.42,380.34,65676000
1656595800,376.24,380.66,372.56,377.25,112508300
1656682200,376.56,381.70,373.80,381.24,74839700
1657027800,375.88,381.98,372.90,381.96,81438000
1657114200,382.11,385.87,379.60,383.25,70426200
1657200600,385.12,389.83,383.27,388.99,64525900
1657287000,387.27,390.64,385.66,388.67,72397800
1657546200,385.85,386.87,383.50,384.23,58366900
1657632600,383.65,386.16,378.99,380.83,62219200
1657719000,375.10,381.92,374.66,378.83,84224600
1657805400,373.61,379.05,371.04,377.91,89704800
1657891800,382.55,385.25,380.54,385.13,79060400
1658151000,388.38,389.09,380.66,381.95,63203600
1658237400,386.08,392.87,385.39,392.27,78506000
1658323800,392.47,396.26,391.03,394.77,71843800
1658410200,394.16,398.84,391.63,398.79,64903900
1658496600,398.92,400.18,392.75,395.09,72197300
1658755800,395.75,396.47,393.21,395.57,53631500
1658842200,393.84,394.06,389.95,390.89,52946400
1658928600,394.36,402.88,394.05,401.04,82342100
1659015000,401.89,406.80,398.15,406.07,73966600
1659101400,407.58,413.03,406.77,411.99,87003700
1659360600,409.15,413.41,408.40,410.77,69997500
1659447000,409.12,413.00,406.82,408.06,63435400
1659533400,410.30,415.68,410.00,414.45,67820600
1659619800,414.37,415.09,412.44,414.17,45656600
1659706200,409.66,414.15,409.60,413.47,56814900
1659965400,415.25,417.62,411.83,412.99,53886100
1660051800,412.22,412.75,410.22,411.35,44931800
1660138200,418.78,420.14,416.72,419.99,68665700
1660224600,422.99,424.95,419.21,419.99,59489700
1660311000,422.03,427.21,421.03,427.10,61694500
1660570200,424.77,429.41,424.71,428.86,54048300
1660656600,427.73,431.73,426.88,429.70,59289000
1660743000,425.91,429.50,424.54,426.65,63563400
1660829400,426.86,428.61,425.50,427.89,49023200
1660915800,424.98,425.26,421.22,422.14,68016900
1661175000,417.05,417.23,412.40,413.35,77695600
1661261400,412.90,415.42,411.77,412.35,49105200
1661347800,412.11,415.11,411.39,413.67,49177800
1661434200,415.24,419.56,414.09,419.51,50942300
1661520600,419.39,419.96,405.25,405.31,103087000
1661779800,402.20,405.84,401.20,402.63,65370800
1661866200,403.85,404.10,396.00,398.21,85652400
1661952600,399.93,401.24,395.04,395.18,76029700
1662039000,392.89,396.78,390.04,396.42,78740100
1662125400,400.28,401.56,390.33,392.24,99632100
1662471000,393.13,394.12,388.42,390.76,76637400
1662557400,390.43,398.59,390.20,397.78,70964200
1662643800,395.39,400.86,394.12,400.38,80821700
1662730200,402.74,407.51,402.46,406.60,76706900
1662989400,408.78,411.73,408.46,410.97,69256300
1663075800,401.83,403.10,391.92,393.10,122947100
1663162200,394.47,396.20,391.12,394.60,85023700
1663248600,392.96,395.96,388.78,390.12,87633800
1663335000,384.14,386.25,382.11,385.56,103084800
1663594200,382.26,388.55,382.18,388.55,73278500
1663680600,385.06,386.12,381.20,384.09,77274900
