date,open,high,low,close,volume
1634218200,363.69,366.85,363.01,366.63,43433900
1634304600,367.88,369.06,366.82,368.94,40419900
1634563800,367.61,372.87,366.99,372.65,34513500
1634650200,373.75,375.52,372.70,375.47,29091000
1634736600,375.94,376.57,373.46,374.98,31390300
1634823000,374.16,377.47,373.85,377.27,25469300
1634909400,375.98,376.97,372.39,374.10,36275800
1635168600,375.56,378.87,373.56,377.93,32597800
1635255000,380.23,382.71,377.91,379.12,47191300
1635341400,379.58,383.15,379.31,380.00,45760500
1635427800,381.95,384.48,381.16,384.22,38007000
1635514200,381.06,386.28,380.70,386.11,37310100
1635773400,386.56,387.56,384.42,387.43,30765300
1635859800,386.80,389.54,386.75,389.05,25135300
1635946200,389.55,393.61,388.48,393.18,33748900
1636032600,394.48,399.20,393.92,398.22,40265300
1636119000,400.04,400.99,397.16,398.60,43383800
1636381800,398.57,399.62,397.40,398.06,29256300
1636468200,399.16,399.57,393.92,395.32,50490700
1636554600,392.47,395.36,387.53,389.51,54937400
1636641000,392.57,392.75,390.24,390.59,32243000
1636727400,391.77,395.25,390.13,394.70,34730600
1636986600,395.91,396.24,392.10,394.61,33716900
1637073000,393.86,397.93,393.66,397.42,27872900
1637159400,397.75,399.72,396.64,397.63,28703300
1637245800,399.73,402.27,397.45,401.75,45721500
1637332200,403.43,405.30,402.58,403.99,45191700
1637591400,405.57,408.71,399.19,399.30,61715400
1637677800,398.11,400.23,392.92,397.48,70098700
1637764200,394.93,399.05,392.54,398.76,46954400
1637937000,396.11,397.54,389.77,391.20,51533300
1638196200,395.89,400.73,395.14,399.69,54447100
1638282600,398.78,401.19,391.75,393.82,81332700
1638369000,398.28,400.48,386.64,387.12,77766500
1638455400,385.80,391.74,384.34,389.91,84416600
1638541800,391.31,392.34,378.90,383.13,105349100
1638801000,383.63,387.60,379.30,386.20,67588800
1638887400,393.03,398.46,392.99,397.83,56005300
1638973800,398.17,399.82,396.22,399.61,39204000
1639060200,398.35,400.20,393.53,393.73,49973700
1639146600,396.62,398.28,393.36,398.01,52545800
1639405800,398.00,398.33,391.88,392.26,50166400
1639492200,387.30,390.09,383.63,388.20,75199200
1639578600,387.94,397.42,383.88,397.05,73858000
1639665000,398.04,398.48,385.21,386.84,82591400
1639751400,383.33,389.19,381.77,384.91,80492500
1640010600,379.57,381.50,377.47,380.69,65336800
1640097000,384.05,389.53,380.20,389.21,48899500
1640183400,388.91,394.16,388.23,393.95,37042200
1640269800,394.31,398.43,394.14,396.92,29595500
1640615400,398.25,403.48,398.22,403.48,32820700
1640701800,404.40,404.58,400.71,401.61,33113700
1640788200,401.75,403.05,399.11,401.55,32248500
1640874600,401.33,403.57,399.75,400.35,23850100
1640961000,399.66,401.06,397.34,397.85,34752900
1641220200,399.05,401.94,396.88,401.68,40575900
1641306600,402.24,402.28,393.29,396.47,58027200
1641393000,394.74,395.89,384.03,384.29,75739800
1641479400,382.42,387.35,380.13,384.02,70814300
1641565800,384.03,385.76,378.04,379.86,72652300
1641825000,374.82,380.64,369.31,380.11,91770500
1641911400,379.36,385.99,377.22,385.82,68295700
1641997800,388.46,390.20,385.01,387.35,54576400
1642084200,388.77,389.47,376.70,377.66,77994000
1642170600,375.07,380.35,374.86,380.01,80121200
1642516200,374.04,376.22,369.77,370.55,75450900
1642602600,372.15,374.69,366.21,366.48,81791500
1642689000,369.79,373.87,361.17,361.72,88610700
1642775400,359.47,362.18,351.40,351.69,143388900
1643034600,345.91,353.98,334.15,353.30,198685800
1643121000,346.67,351.03,341.68,345.11,124398400
1643207400,352.91,356.88,340.78,344.57,146559500
1643293800,349.40,351.27,340.05,341.10,95255700
1643380200,343.03,352.02,337.95,351.80,108167900
1643639400,353.20,363.65,351.52,363.05,94326400
1643725800,364.43,366.19,359.14,365.52,74433000
1643812200,369.76,370.10,364.29,368.49,78777100
1643898600,358.53,361.93,352.46,353.55,95384800
1643985000,354.08,361.40,351.97,358.01,86318300
1644244200,358.62,361.05,353.84,355.13,58198100
1644330600,353.96,360.24,352.80,359.12,64720900
1644417000,363.76,366.81,362.12,366.73,55766400
1644503400,359.52,366.49,356.54,358.43,112468500
1644589800,358.43,360.07,345.80,347.06,101569100
1644849000,346.49,350.98,343.89,347.49,80254400
1644935400,352.91,356.37,351.82,356.13,55128800
1645021800,353.82,357.09,350.71,356.04,58947100
1645108200,352.74,353.46,345.02,345.45,61801400
1645194600,346.41,346.81,339.14,341.51,80001500
1645540200,338.49,344.04,334.35,338.08,85967100
1645626600,341.32,342.18,329.10,329.42,86215400
1645713000,318.84,341.04,318.26,340.49,130614100
1645799400,341.31,345.98,337.39,345.77,78842100
1646058600,342.51,348.54,341.32,346.80,77515500
1646145000,345.75,348.08,338.90,341.49,67407000
1646231400,343.08,348.59,340.24,347.22,70609000
1646317800,349.93,350.04,340.35,342.26,71089400
1646404200,339.84,341.31,334.92,337.30,76936300
1646663400,337.29,338.48,324.65,324.86,89933800
1646749800,324.05,333.21,319.94,323.35,116153900
1646836200,331.75,336.38,329.09,334.99,64723400
1646922600,330.82,332.51,326.71,331.27,69362700
1647009000,334.32,334.64,323.90,324.40,66228400
1647264600,323.13,326.59,317.45,318.17,79802600
1647351000,320.88,328.95,319.23,328.15,76471000
1647437400,332.17,340.44,328.40,340.32,105243000
1647523800,338.37,344.50,337.04,344.44,67810000
1647610200,342.74,351.79,341.55,351.49,85446300
1647869400,350.20,352.48,345.58,350.08,73799100
1647955800,350.59,357.85,350.20,356.96,63345900
1648042200,354.01,357.66,351.77,351.83,70615500
1648128600,353.80,359.70,351.59,359.65,53555300
1648215000,359.59,360.67,354.94,359.35,57584200
1648474200,359.34,365.01,358.07,364.91,56833900
